place.name,state.code,county.code
"Stamford, Darien, and New Canaan",CT,1
St. Petersburg,FL,103
East St. Louis,IL,119
East St. Louis,IL,163
Lake Co. Gary,IN,89
Holyoke Chicopee,MA,15
Holyoke Chicopee,MA,13
St. Paul,MN,37
St. Paul,MN,53
St. Paul,MN,123
St. Paul,MN,163
Greater Kansas City,MO,47
Greater Kansas City,MO,95
Greater Kansas City,MO,165
Greater Kansas City,KS,209
Greater Kansas City,KS,91
St. Joseph,MO,21
St. Joseph,MO,3
St. Louis,MO,189
St. Louis,MO,510
Bergen Co.,NJ,3
Essex Co.,NJ,39
Essex Co.,NJ,31
Essex Co.,NJ,27
Essex Co.,NJ,13
Hudson Co.,NJ,17
Union Co.,NJ,35
Union Co.,NJ,23
Union Co.,NJ,27
Union Co.,NJ,39
Binghamton-Johnson City,NY,7
Lower Westchester Co.,NY,5
Lower Westchester Co.,NY,119
Manhattan,NY,61
Queens,NY,59
Queens,NY,81
Wilkes-Barre,PA,79
Milwaukee Co.,WI,133
Milwaukee Co.,WI,79
New Orleans,LA,87
New Orleans,LA,51
New Orleans,LA,71
Roanoke,VA,770
Roanoke,VA,161
Roanoke,VA,23
Roanoke,VA,775
Albany,NY,1
Albany,NY,83
Pittsburgh,PA,3
Pittsburgh,PA,7
Toledo,OH,95
Toledo,OH,173
Harrisburg,PA,43
Harrisburg,PA,41
Harrisburg,PA,133
Manchester,NH,11
Manchester,NH,13
Detroit,MI,163
Detroit,MI,99
Detroit,MI,125
Shreveport,LA,17
Shreveport,LA,15
Covington,KY,117
Covington,KY,37
Peoria,IL,143
Peoria,IL,179
Chicago,IL,31
Chicago,IL,97
Augusta,SC,3
Augusta,GA,245
Waterbury,CT,9
Waterbury,CT,5
Denver,CO,1
Denver,CO,31
Denver,CO,59
Denver,CO,5
Sacramento,CA,67
Sacramento,CA,113
Norfolk,VA,710
Norfolk,VA,740
Norfolk,VA,650
Norfolk,VA,700
Norfolk,VA,550
Norfolk,VA,810
Oakland,CA,1
Oakland,CA,13
San Diego,CA,73
San Diego,CA,59
Atlanta,GA,89
Atlanta,GA,121
Atlanta,GA,63
Sioux City,IA,193
Sioux City,IA,175
Sioux City,IA,149
Aurora,IL,43
Aurora,IL,89
Aurora,IL,197
Aurora,IL,93
Brookline,MA,21
Brookline,MA,17
Brookline,MA,25
Everett,MA,25
Everett,MA,17
Malden,MA,17
Malden,MA,25
Melrose,MA,17
Melrose,MA,9
Milton,MA,25
Milton,MA,21
Revere,MA,25
Revere,MA,9
Saugus,MA,25
Saugus,MA,9
Saugus,MA,17
Winthrop,MA,25
Winthrop,MA,9
Utica,NY,65
Utica,NY,43
Youngstown,OH,99
Youngstown,OH,155
Newport News,VA,700
Newport News,VA,650
Bronx,NY,5
Bronx,NY,119
Dubuque,IA,61
Dubuque,WI,43
Evansville,IN,163
Evansville,KY,101
Pawtucket & Central Falls,RI,7
Pawtucket & Central Falls,MA,5
